Date,Dow Jones Volume,NASDAQ Volume
2020-05-14,472700000,3945080000
2020-05-15,491510000,4221500000
2020-05-18,484190000,4318310000
2020-05-19,374100000,4144770000
2020-05-20,366510000,4292470000
2020-05-21,346770000,3725950000
2020-05-22,255660000,3641830000
2020-05-26,424380000,4432310000
2020-05-27,411230000,4462450000
2020-05-28,377800000,4064220000
2020-05-29,527620000,4710060000
2020-06-01,338310000,3824770000
2020-06-02,352610000,3962460000
2020-06-03,398790000,4638380000
2020-06-04,372190000,6074320000
2020-06-05,542310000,6572850000
2020-06-08,430200000,6143120000
2020-06-09,381430000,5281860000
2020-06-10,448930000,5128400000
2020-06-11,647780000,5271000000
2020-06-12,514440000,4366190000
2020-06-15,461230000,4440650000
2020-06-16,489500000,4639860000
2020-06-17,328830000,4249680000
2020-06-18,328390000,4294740000
2020-06-19,669390000,6068130000
2020-06-22,351780000,4468000000
2020-06-23,389980000,5712450000
2020-06-24,450120000,5549440000
2020-06-25,384560000,4709620000
2020-06-26,640860000,7279230000
2020-06-29,378070000,4306120000
2020-06-30,410780000,4474000000
